,Total J411,Seoul J411,Busan J411,Incheon J411,Daegu J411,Gwangju J411,Daejeon J411,Ulsan J411,Gyeonggi J411,Gangwon J411,Choongbuk J411,Choongnam J411,Jeonbuk J411,Jeonnam J411,Gyeongbuk J411,Gyeongnam J411,Jeju J411,Sejong J411,Total J180,Seoul J180,Busan J180,Incheon J180,Daegu J180,Gwangju J180,Daejeon J180,Ulsan J180,Gyeonggi J180,Gangwon J180,Choongbuk J180,Choongnam J180,Jeonbuk J180,Jeonnam J180,Gyeongbuk J180,Gyeongnam J180,Jeju J180,Sejong J180,Total I693,Seoul I693,Busan I693,Incheon I693,Daegu I693,Gwangju I693,Daejeon I693,Ulsan I693,Gyeonggi I693,Gangwon I693,Choongbuk I693,Choongnam I693,Jeonbuk I693,Jeonnam I693,Gyeongbuk I693,Gyeongnam I693,Jeju I693,Sejong I693,Total I109,Seoul I109,Busan I109,Incheon I109,Daegu I109,Gwangju I109,Daejeon I109,Ulsan I109,Gyeonggi I109,Gangwon I109,Choongbuk I109,Choongnam I109,Jeonbuk I109,Jeonnam I109,Gyeongbuk I109,Gyeongnam I109,Jeju I109,Sejong I109,Total J340,Seoul J340,Busan J340,Incheon J340,Daegu J340,Gwangju J340,Daejeon J340,Ulsan J340,Gyeonggi J340,Gangwon J340,Choongbuk J340,Choongnam J340,Jeonbuk J340,Jeonnam J340,Gyeongbuk J340,Gyeongnam J340,Jeju J340,Sejong J340,Total I269,Seoul I269,Busan I269,Incheon I269,Daegu I269,Gwangju I269,Daejeon I269,Ulsan I269,Gyeonggi I269,Gangwon I269,Choongbuk I269,Choongnam I269,Jeonbuk I269,Jeonnam I269,Gyeongbuk I269,Gyeongnam I269,Jeju I269,Sejong I269
2020.11 ,6550,933,352,298,216,117,283,346,1481,336,180,338,210,563,529,244,122,2,14425,1966,611,378,871,546,1197,482,2959,281,268,576,1422,650,421,1474,313,18,8337,597,967,262,452,221,612,70,1096,92,884,374,870,645,683,471,39,6,3251815,548840,209282,183500,161430,81774,95800,65136,745929,122811,118948,163207,142889,147227,202351,211734,40322,15605,26541,4785,1828,1470,1217,898,974,886,6645,438,574,487,2054,1602,773,1113,555,251,4206,1085,365,201,322,161,104,70,807,126,129,107,132,120,174,248,64,12
2020.12 ,6197,855,364,323,214,139,282,356,1376,301,165,354,176,500,419,232,139,2,10761,1474,511,348,677,428,917,393,2047,206,159,453,975,396,378,1114,271,23,8774,643,1025,290,462,223,587,80,1156,104,865,441,925,661,797,471,39,7,3498924,601227,226352,198667,174131,87974,103623,70384,803539,130747,128200,172603,152548,154934,214418,226357,42656,16399,25642,4857,1852,1361,1296,887,1030,790,6365,476,547,558,1700,1355,753,1067,539,216,4456,1134,395,210,355,185,96,90,856,149,123,112,148,110,194,245,68,14
2021.01 ,4835,698,287,279,139,66,224,163,1194,247,130,276,147,407,281,196,99,2,7415,1101,403,222,435,338,670,174,1397,169,103,321,702,407,220,624,121,14,7838,570,892,238,428,183,567,79,1036,102,753,361,791,633,689,462,47,9,3246066,545268,210137,183459,162022,82897,96130,65108,745494,120032,118664,162120,143418,147497,200062,211895,40642,15660,21065,4287,1460,1046,1112,762,835,561,5263,387,472,482,1218,1096,745,847,379,119,4403,1121,404,210,347,180,119,77,790,142,124,102,134,135,198,268,62,13
2021.02 ,4513,699,248,246,165,67,183,134,1055,231,145,260,146,379,262,208,84,1,7062,1054,377,180,445,269,667,184,1248,130,140,311,714,370,207,625,127,16,7739,589,862,239,407,191,545,89,1017,95,814,397,801,570,635,433,48,8,3154213,532218,203572,178753,157663,79630,93004,62749,726038,117611,116296,156717,138888,141582,194417,204873,39122,15214,19453,3770,1313,1015,987,729,692,572,4793,405,419,414,1177,1064,718,814,462,119,4081,1056,363,184,347,162,104,60,742,131,115,103,157,96,169,233,68,12
2021.03 ,5255,831,289,267,170,61,213,204,1286,263,165,316,175,396,291,234,92,2,10601,1658,538,343,800,401,802,329,2124,197,217,380,933,462,290,811,317,9,8534,648,994,242,465,177,619,79,1162,107,832,503,879,560,730,485,46,8,3499836,598771,226379,198628,173108,88442,103584,69355,804490,130623,127769,173450,152718,156227,215114,227072,43345,16697,23005,4507,1504,1432,1089,889,817,686,5729,380,499,481,1409,1341,752,888,464,151,4787,1271,402,217,366,192,111,84,900,153,152,120,174,127,206,274,55,13
2021.04 ,5434,851,305,249,197,65,259,262,1369,234,139,336,168,358,272,266,100,4,13204,2040,549,535,931,529,963,382,2861,242,248,495,1208,517,405,983,302,21,8154,606,949,241,399,195,609,80,1104,103,834,470,831,480,703,494,49,11,3387619,574827,218841,191619,168840,86425,99678,67469,779041,126453,124089,167031,149232,151588,208996,220174,42154,16372,26378,5309,1532,1534,1355,944,982,733,6694,410,559,504,1716,1623,799,992,492,213,4685,1239,413,208,391,178,111,84,857,157,138,118,155,121,196,268,71,14
2021.05 ,4915,770,278,187,207,70,237,192,1260,228,149,317,157,273,251,221,115,3,12764,2018,550,517,785,499,891,281,2888,247,250,483,1268,444,377,1007,259,15,8233,585,945,238,467,171,672,72,1120,116,890,493,814,497,653,447,47,8,3399563,574016,218970,192625,168921,86683,100763,67480,784676,126666,125287,170439,149724,151301,208485,219673,42257,16561,20779,4263,1180,1325,937,726,794,601,5325,365,453,372,1372,1094,646,777,408,148,4446,1148,388,182,367,173,116,76,848,138,125,116,158,103,196,266,63,17
2021.06 ,4253,720,228,162,136,63,195,121,1116,243,128,251,141,242,233,196,76,2,11303,1572,513,404,603,405,802,240,2265,216,223,521,1477,419,388,1006,241,17,8240,659,1003,182,431,186,685,89,1149,116,798,473,856,464,670,433,41,6,3413923,585304,220158,193431,168803,87916,100449,67778,785900,126878,124563,167472,149437,152545,208651,221372,42020,16420,17800,3474,1034,1172,764,625,638,468,4541,293,355,327,1346,1016,602,718,312,124,4798,1327,413,199,379,190,122,86,906,147,144,112,158,122,184,258,68,9
2021.07 ,3690,636,180,136,134,62,173,150,952,215,112,202,131,208,180,147,70,2,8474,1032,438,313,531,368,773,188,1504,126,184,307,1021,368,270,768,270,18,8174,600,1020,187,458,187,695,66,1186,102,767,492,807,490,666,404,44,7,3441185,581548,222193,196043,170216,88653,101604,69736,797440,126851,125172,170459,151397,152513,210078,223019,42624,16505,15779,3192,863,970,673,568,574,524,3842,258,279,292,1181,953,572,628,312,106,4727,1204,413,210,414,181,114,90,870,162,124,119,140,130,216,276,72,11
2021.08 ,3504,624,195,126,128,57,133,81,914,204,118,213,125,181,191,134,79,1,6003,873,355,192,368,208,611,123,993,91,130,267,703,256,236,423,164,12,8297,538,970,188,436,200,742,72,1269,131,804,509,839,480,649,417,48,7,3421985,577562,221059,194791,169186,87949,100139,66079,791083,127957,126418,170307,150690,153216,209506,221945,42447,16762,15242,3340,871,913,653,557,531,436,3757,287,322,303,928,740,553,700,268,86,4778,1236,414,210,400,195,138,84,897,145,137,119,144,128,213,268,68,14
2021.09 ,4068,683,250,179,144,75,148,98,1050,195,116,290,134,245,201,170,86,4,9318,1106,632,213,556,602,748,227,1597,140,132,341,1155,384,254,1078,155,6,7968,531,995,191,377,184,675,69,1194,100,747,451,840,503,632,418,58,5,3365321,571785,217411,192448,166186,87210,98814,67059,778590,124171,121274,165699,147547,150305,205305,218632,41747,16033,19700,4058,1081,1343,897,764,701,621,5082,297,407,335,1222,1121,615,753,274,135,4677,1193,396,217,391,175,125,73,912,172,115,106,147,126,214,271,55,12
2021.10 ,5056,805,318,221,182,92,207,192,1285,234,133,322,145,275,260,283,101,1,17272,1752,787,547,1101,1082,1374,529,2826,379,333,625,2274,708,308,2099,521,39,8067,541,995,195,414,173,772,79,1137,110,749,414,898,491,621,401,72,6,3410504,582918,219536,194565,168628,88189,99503,67694,795739,124509,123439,167039,148677,150238,206369,220071,41928,16625,25367,4872,1644,1471,1133,894,878,974,6238,357,525,479,1735,1667,818,1001,478,207,4633,1173,394,226,388,195,109,92,875,169,131,122,145,122,190,256,58,9
2021.11 ,6731,1048,406,303,241,116,338,293,1744,242,174,474,159,341,319,339,192,3,20223,2846,803,1040,1188,689,1506,525,4677,432,408,898,2046,781,386,1426,551,33,7913,490,951,206,420,193,653,77,1174,99,786,426,804,518,641,398,74,7,3428546,577329,220045,195474,169384,88363,100540,68612,796836,127644,125313,170489,149890,152970,209641,221794,43119,16638,31127,5883,1812,1654,1317,954,1149,1362,8102,559,668,487,2250,2042,895,1124,550,326,4862,1234,428,185,442,187,146,94,925,166,114,117,155,128,228,266,67,10
2021.12 ,6208,930,430,289,221,95,238,213,1636,301,171,419,175,339,319,274,155,3,16572,2256,1008,614,793,782,960,511,3645,438,339,594,1367,607,288,1762,601,22,8294,538,980,179,399,187,783,89,1181,101,797,496,866,532,654,431,76,9,3621661,619782,233536,207574,178859,93670,106049,72680,843450,132121,131469,178646,156824,158199,218744,234003,44541,17744,28757,5556,1820,1623,1261,880,1024,1069,7590,500,669,575,1858,1741,870,1112,435,184,4897,1240,397,220,408,202,140,90,935,173,108,124,150,153,224,283,61,11
2022.01 ,6028,878,484,245,229,86,249,245,1440,313,168,430,168,307,264,342,178,3,22487,2544,964,758,946,1789,1464,697,4883,472,557,937,1592,836,374,3032,609,52,7659,465,915,176,349,184,650,75,1117,94,812,454,781,505,613,384,79,10,3455529,579796,222665,198330,171613,89417,101134,69388,805048,126492,125770,170926,151961,152918,210974,224314,43018,17085,27530,5162,1853,1447,1220,887,941,947,7107,402,874,555,1853,1686,829,1128,467,183,4821,1214,415,221,427,165,111,102,926,167,141,119,140,136,217,274,60,10
